;grid;letters;locs;encoding_stim;incorr_locs;corr_letters;incorr_letters;rotated_inds;incorr_rot;abc_ordered;incorr_abc;task_ind;answer_type;probe_stim
3288;"[array([['М', 'Х', 'Х'],
       ['Г', 'Х', 'Д'],
       ['Ж', 'Х', 'Х']], dtype='<U1')]";['М', 'Г', 'Д', 'Ж'];[0, 3, 5, 6];grid_12556.png;[1, 2, 7, 8];{'М': 0, 'Г': 1, 'Д': 2, 'Ж': 3};{'М': [1, 2, 3], 'Г': [0, 2, 3], 'Д': [0, 1, 3], 'Ж': [0, 1, 2]};[2, 1, 7, 0];[3, 5, 6, 8];{'Г': 0, 'Д': 1, 'Ж': 2, 'М': 3};{'Г': [1], 'Д': [0], 'Ж': [0, 1], 'М': [1, 2]};0;;
1749;"[array([['Х', 'Л', 'Х'],
       ['Х', 'Х', 'П'],
       ['Ф', 'Ш', 'Х']], dtype='<U1')]";['Л', 'П', 'Ф', 'Ш'];[1, 5, 6, 7];grid_9502.png;[0, 2, 3, 8];{'Л': 0, 'П': 1, 'Ф': 2, 'Ш': 3};{'Л': [1, 2, 3], 'П': [0, 2, 3], 'Ф': [0, 1, 3], 'Ш': [0, 1, 2]};[5, 7, 0, 3];[1, 2, 6, 8];{'Л': 0, 'П': 1, 'Ф': 2, 'Ш': 3};{'Л': [1, 2], 'П': [2, 3], 'Ф': [3], 'Ш': [2]};1;0.0;3
430;"[array([['М', 'Х', 'Т'],
       ['Х', 'Х', 'Х'],
       ['Ж', 'К', 'Х']], dtype='<U1')]";['М', 'Т', 'Ж', 'К'];[0, 2, 6, 7];grid_2193.png;[1, 3, 5, 8];{'М': 0, 'Т': 1, 'Ж': 2, 'К': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'Ж': [0, 1, 3], 'К': [0, 1, 2]};[2, 8, 0, 3];[1, 5, 6, 7];{'Ж': 0, 'К': 1, 'М': 2, 'Т': 3};{'Ж': [1, 2], 'К': [0, 2], 'М': [1, 3], 'Т': [1, 2]};3;0.0;5
1551;"[array([['Х', 'Х', 'Л'],
       ['Г', 'Х', 'П'],
       ['Х', 'Х', 'Ш']], dtype='<U1')]";['Л', 'Г', 'П', 'Ш'];[2, 3, 5, 8];grid_9228.png;[0, 1, 6, 7];{'Л': 0, 'Г': 1, 'П': 2, 'Ш': 3};{'Л': [1, 2, 3], 'Г': [0, 2, 3], 'П': [0, 1, 3], 'Ш': [0, 1, 2]};[8, 1, 7, 6];[0, 2, 3, 5];{'Г': 0, 'Л': 1, 'П': 2, 'Ш': 3};{'Г': [1], 'Л': [0, 2], 'П': [1, 3], 'Ш': [2]};1;0.0;6
557;"[array([['Т', 'Ф', 'Х'],
       ['Х', 'Х', 'Х'],
       ['К', 'Х', 'М']], dtype='<U1')]";['Т', 'Ф', 'К', 'М'];[0, 1, 6, 8];grid_2324.png;[2, 3, 5, 7];{'Т': 0, 'Ф': 1, 'К': 2, 'М': 3};{'Т': [1, 2, 3], 'Ф': [0, 2, 3], 'К': [0, 1, 3], 'М': [0, 1, 2]};[2, 5, 0, 6];[1, 3, 7, 8];{'К': 0, 'М': 1, 'Т': 2, 'Ф': 3};{'К': [1, 2], 'М': [2, 3], 'Т': [1, 3], 'Ф': [2]};4;0.0;'- - - М
1552;"[array([['Х', 'Х', 'Ш'],
       ['П', 'Х', 'Х'],
       ['Г', 'Л', 'Х']], dtype='<U1')]";['Ш', 'П', 'Г', 'Л'];[2, 3, 6, 7];grid_9229.png;[0, 1, 5, 8];{'Ш': 0, 'П': 1, 'Г': 2, 'Л': 3};{'Ш': [1, 2, 3], 'П': [0, 2, 3], 'Г': [0, 1, 3], 'Л': [0, 1, 2]};[8, 1, 0, 3];[2, 5, 6, 7];{'Г': 0, 'Л': 1, 'П': 2, 'Ш': 3};{'Г': [1], 'Л': [0, 2], 'П': [1, 3], 'Ш': [2]};0;;
552;"[array([['М', 'Т', 'Х'],
       ['К', 'Х', 'Х'],
       ['Х', 'Х', 'Ф']], dtype='<U1')]";['М', 'Т', 'К', 'Ф'];[0, 1, 3, 8];grid_2319.png;[2, 5, 6, 7];{'М': 0, 'Т': 1, 'К': 2, 'Ф': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'К': [0, 1, 3], 'Ф': [0, 1, 2]};[2, 5, 1, 6];[0, 3, 7, 8];{'К': 0, 'М': 1, 'Т': 2, 'Ф': 3};{'К': [1, 2], 'М': [2, 3], 'Т': [1, 3], 'Ф': [2]};1;0.0;7
1549;"[array([['Х', 'Х', 'Ш'],
       ['Л', 'Х', 'П'],
       ['Г', 'Х', 'Х']], dtype='<U1')]";['Ш', 'Л', 'П', 'Г'];[2, 3, 5, 6];grid_9226.png;[0, 1, 7, 8];{'Ш': 0, 'Л': 1, 'П': 2, 'Г': 3};{'Ш': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Г': [0, 1, 2]};[8, 1, 7, 0];[2, 3, 5, 6];{'Г': 0, 'Л': 1, 'П': 2, 'Ш': 3};{'Г': [1], 'Л': [0, 2], 'П': [1, 3], 'Ш': [2]};0;;
3494;"[array([['Ж', 'Х', 'Х'],
       ['Ф', 'Х', 'М'],
       ['Х', 'Х', 'Д']], dtype='<U1')]";['Ж', 'Ф', 'М', 'Д'];[0, 3, 5, 8];grid_12838.png;[1, 2, 6, 7];{'Ж': 0, 'Ф': 1, 'М': 2, 'Д': 3};{'Ж': [1, 2, 3], 'Ф': [0, 2, 3], 'М': [0, 1, 3], 'Д': [0, 1, 2]};[2, 1, 7, 6];[0, 3, 5, 8];{'Д': 0, 'Ж': 1, 'М': 2, 'Ф': 3};{'Д': [1], 'Ж': [0, 2], 'М': [1, 3], 'Ф': [2]};0;;
1538;"[array([['Х', 'Г', 'П'],
       ['Х', 'Х', 'Х'],
       ['Л', 'Х', 'Ш']], dtype='<U1')]";['Г', 'П', 'Л', 'Ш'];[1, 2, 6, 8];grid_9214.png;[0, 3, 5, 7];{'Г': 0, 'П': 1, 'Л': 2, 'Ш': 3};{'Г': [1, 2, 3], 'П': [0, 2, 3], 'Л': [0, 1, 3], 'Ш': [0, 1, 2]};[5, 8, 0, 6];[1, 2, 3, 7];{'Г': 0, 'Л': 1, 'П': 2, 'Ш': 3};{'Г': [1], 'Л': [0, 2], 'П': [1, 3], 'Ш': [2]};4;1.0;'- Л - -
