;grid;letters;locs;encoding_stim;incorr_locs;corr_letters;incorr_letters;rotated_inds;incorr_rot;abc_ordered;incorr_abc;task_ind;answer_type;probe_stim
1560;"[array([['Х', 'Х', 'Х'],
       ['Ш', 'Х', 'Л'],
       ['П', 'Х', 'Г']], dtype='<U1')]";['Ш', 'Л', 'П', 'Г'];[3, 5, 6, 8];grid_9237.png;[0, 1, 2, 7];{'Ш': 0, 'Л': 1, 'П': 2, 'Г': 3};{'Ш': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Г': [0, 1, 2]};[1, 7, 0, 6];[2, 3, 5, 8];{'Г': 0, 'Л': 1, 'П': 2, 'Ш': 3};{'Г': [1], 'Л': [0, 2], 'П': [1, 3], 'Ш': [2]};3;1.0;0
576;"[array([['Т', 'Х', 'Х'],
       ['Х', 'Х', 'К'],
       ['Х', 'М', 'Ф']], dtype='<U1')]";['Т', 'К', 'М', 'Ф'];[0, 5, 7, 8];grid_2344.png;[1, 2, 3, 6];{'Т': 0, 'К': 1, 'М': 2, 'Ф': 3};{'Т': [1, 2, 3], 'К': [0, 2, 3], 'М': [0, 1, 3], 'Ф': [0, 1, 2]};[2, 7, 3, 6];[0, 1, 5, 8];{'К': 0, 'М': 1, 'Т': 2, 'Ф': 3};{'К': [1, 2], 'М': [2, 3], 'Т': [1, 3], 'Ф': [2]};0;;
1533;"[array([['Х', 'Ш', 'П'],
       ['Г', 'Х', 'Х'],
       ['Х', 'Х', 'Л']], dtype='<U1')]";['Ш', 'П', 'Г', 'Л'];[1, 2, 3, 8];grid_9209.png;[0, 5, 6, 7];{'Ш': 0, 'П': 1, 'Г': 2, 'Л': 3};{'Ш': [1, 2, 3], 'П': [0, 2, 3], 'Г': [0, 1, 3], 'Л': [0, 1, 2]};[5, 8, 1, 6];[0, 2, 3, 7];{'Г': 0, 'Л': 1, 'П': 2, 'Ш': 3};{'Г': [1], 'Л': [0, 2], 'П': [1, 3], 'Ш': [2]};0;;
2018;"[array([['Х', 'М', 'Х'],
       ['Ж', 'Х', 'Х'],
       ['К', 'Д', 'Х']], dtype='<U1')]";['М', 'Ж', 'К', 'Д'];[1, 3, 6, 7];grid_9989.png;[0, 2, 5, 8];{'М': 0, 'Ж': 1, 'К': 2, 'Д': 3};{'М': [1, 2, 3], 'Ж': [0, 2, 3], 'К': [0, 1, 3], 'Д': [0, 1, 2]};[5, 1, 0, 3];[2, 6, 7, 8];{'Д': 0, 'Ж': 1, 'К': 2, 'М': 3};{'Д': [1], 'Ж': [0, 2], 'К': [0, 1], 'М': [1, 2]};0;;
4655;"[array([['Г', 'Х', 'Х'],
       ['Х', 'Х', 'П'],
       ['Ш', 'Х', 'Ф']], dtype='<U1')]";['Г', 'П', 'Ш', 'Ф'];[0, 5, 6, 8];grid_14523.png;[1, 2, 3, 7];{'Г': 0, 'П': 1, 'Ш': 2, 'Ф': 3};{'Г': [1, 2, 3], 'П': [0, 2, 3], 'Ш': [0, 1, 3], 'Ф': [0, 1, 2]};[2, 7, 0, 6];[1, 3, 5, 8];{'Г': 0, 'П': 1, 'Ф': 2, 'Ш': 3};{'Г': [1], 'П': [2, 3], 'Ф': [3], 'Ш': [2]};3;1.0;2
2037;"[array([['Х', 'Х', 'Х'],
       ['Д', 'Х', 'К'],
       ['Х', 'М', 'Ж']], dtype='<U1')]";['Д', 'К', 'М', 'Ж'];[3, 5, 7, 8];grid_10008.png;[0, 1, 2, 6];{'Д': 0, 'К': 1, 'М': 2, 'Ж': 3};{'Д': [1, 2, 3], 'К': [0, 2, 3], 'М': [0, 1, 3], 'Ж': [0, 1, 2]};[1, 7, 3, 6];[0, 2, 5, 8];{'Д': 0, 'Ж': 1, 'К': 2, 'М': 3};{'Д': [1], 'Ж': [0, 2], 'К': [0, 1], 'М': [1, 2]};2;0.0;'- - К -
4661;"[array([['Х', 'Г', 'Ф'],
       ['П', 'Х', 'Х'],
       ['Х', 'Х', 'Ш']], dtype='<U1')]";['Г', 'Ф', 'П', 'Ш'];[1, 2, 3, 8];grid_14529.png;[0, 5, 6, 7];{'Г': 0, 'Ф': 1, 'П': 2, 'Ш': 3};{'Г': [1, 2, 3], 'Ф': [0, 2, 3], 'П': [0, 1, 3], 'Ш': [0, 1, 2]};[5, 8, 1, 6];[0, 2, 3, 7];{'Г': 0, 'П': 1, 'Ф': 2, 'Ш': 3};{'Г': [1], 'П': [2, 3], 'Ф': [3], 'Ш': [2]};4;1.0;'- П - -
2028;"[array([['Х', 'Х', 'К'],
       ['М', 'Х', 'Х'],
       ['Ж', 'Д', 'Х']], dtype='<U1')]";['К', 'М', 'Ж', 'Д'];[2, 3, 6, 7];grid_9999.png;[0, 1, 5, 8];{'К': 0, 'М': 1, 'Ж': 2, 'Д': 3};{'К': [1, 2, 3], 'М': [0, 2, 3], 'Ж': [0, 1, 3], 'Д': [0, 1, 2]};[8, 1, 0, 3];[2, 5, 6, 7];{'Д': 0, 'Ж': 1, 'К': 2, 'М': 3};{'Д': [1], 'Ж': [0, 2], 'К': [0, 1], 'М': [1, 2]};0;;
1529;"[array([['Л', 'Х', 'Х'],
       ['Х', 'Х', 'Х'],
       ['П', 'Г', 'Ш']], dtype='<U1')]";['Л', 'П', 'Г', 'Ш'];[0, 6, 7, 8];grid_9205.png;[1, 2, 3, 5];{'Л': 0, 'П': 1, 'Г': 2, 'Ш': 3};{'Л': [1, 2, 3], 'П': [0, 2, 3], 'Г': [0, 1, 3], 'Ш': [0, 1, 2]};[2, 0, 3, 6];[1, 5, 7, 8];{'Г': 0, 'Л': 1, 'П': 2, 'Ш': 3};{'Г': [1], 'Л': [0, 2], 'П': [1, 3], 'Ш': [2]};2;0.0;'- - П -
449;"[array([['Х', 'М', 'Т'],
       ['Х', 'Х', 'Х'],
       ['К', 'Ж', 'Х']], dtype='<U1')]";['М', 'Т', 'К', 'Ж'];[1, 2, 6, 7];grid_2213.png;[0, 3, 5, 8];{'М': 0, 'Т': 1, 'К': 2, 'Ж': 3};{'М': [1, 2, 3], 'Т': [0, 2, 3], 'К': [0, 1, 3], 'Ж': [0, 1, 2]};[5, 8, 0, 3];[1, 2, 6, 7];{'Ж': 0, 'К': 1, 'М': 2, 'Т': 3};{'Ж': [1, 2], 'К': [0, 2], 'М': [1, 3], 'Т': [1, 2]};0;;
4386;"[array([['Х', 'Ф', 'Ш'],
       ['Д', 'Х', 'П'],
       ['Х', 'Х', 'Х']], dtype='<U1')]";['Ф', 'Ш', 'Д', 'П'];[1, 2, 3, 5];grid_14036.png;[0, 6, 7, 8];{'Ф': 0, 'Ш': 1, 'Д': 2, 'П': 3};{'Ф': [1, 2, 3], 'Ш': [0, 2, 3], 'Д': [0, 1, 3], 'П': [0, 1, 2]};[5, 8, 1, 7];[0, 2, 3, 6];{'Д': 0, 'П': 1, 'Ф': 2, 'Ш': 3};{'Д': [1], 'П': [2, 3], 'Ф': [3], 'Ш': [2]};1;1.0;2
431;"[array([['Т', 'Х', 'К'],
       ['Х', 'Х', 'Х'],
       ['Х', 'М', 'Ж']], dtype='<U1')]";['Т', 'К', 'М', 'Ж'];[0, 2, 7, 8];grid_2195.png;[1, 3, 5, 6];{'Т': 0, 'К': 1, 'М': 2, 'Ж': 3};{'Т': [1, 2, 3], 'К': [0, 2, 3], 'М': [0, 1, 3], 'Ж': [0, 1, 2]};[2, 8, 3, 6];[0, 1, 5, 7];{'Ж': 0, 'К': 1, 'М': 2, 'Т': 3};{'Ж': [1, 2], 'К': [0, 2], 'М': [1, 3], 'Т': [1, 2]};2;0.0;'Ж - - -
1573;"[array([['Г', 'Л', 'Х'],
       ['Х', 'Х', 'П'],
       ['Ф', 'Х', 'Х']], dtype='<U1')]";['Г', 'Л', 'П', 'Ф'];[0, 1, 5, 6];grid_9250.png;[2, 3, 7, 8];{'Г': 0, 'Л': 1, 'П': 2, 'Ф': 3};{'Г': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Ф': [0, 1, 2]};[2, 5, 7, 0];[1, 3, 6, 8];{'Г': 0, 'Л': 1, 'П': 2, 'Ф': 3};{'Г': [1], 'Л': [0, 2], 'П': [1, 3], 'Ф': [2]};4;0.0;'- Г - -
