;grid;letters;locs;encoding_stim;incorr_locs;corr_letters;incorr_letters;rotated_inds;incorr_rot;abc_ordered;incorr_abc;task_ind;answer_type;probe_stim
1084;"[array([['Х', 'Х', 'Х'],
       ['Т', 'Х', 'Ш'],
       ['М', 'Х', 'П']], dtype='<U1')]";['Т', 'Ш', 'М', 'П'];[3, 5, 6, 8];grid_3987.png;[0, 1, 2, 7];{'Т': 0, 'Ш': 1, 'М': 2, 'П': 3};{'Т': [1, 2, 3], 'Ш': [0, 2, 3], 'М': [0, 1, 3], 'П': [0, 1, 2]};[1, 7, 0, 6];[2, 3, 5, 8];{'М': 0, 'П': 1, 'Т': 2, 'Ш': 3};{'М': [1, 2, 3], 'П': [2, 3], 'Т': [1, 3], 'Ш': [2]};1;1.0;6
2743;"[array([['Д', 'Х', 'Ж'],
       ['Х', 'Х', 'Х'],
       ['Х', 'Ф', 'К']], dtype='<U1')]";['Д', 'Ж', 'Ф', 'К'];[0, 2, 7, 8];grid_11435.png;[1, 3, 5, 6];{'Д': 0, 'Ж': 1, 'Ф': 2, 'К': 3};{'Д': [1, 2, 3], 'Ж': [0, 2, 3], 'Ф': [0, 1, 3], 'К': [0, 1, 2]};[2, 8, 3, 6];[0, 1, 5, 7];{'Д': 0, 'Ж': 1, 'К': 2, 'Ф': 3};{'Д': [1], 'Ж': [0, 2], 'К': [0, 1], 'Ф': [2]};2;1.0;'- - - К
3703;"[array([['М', 'Х', 'Х'],
       ['Х', 'Х', 'Г'],
       ['П', 'Х', 'Ш']], dtype='<U1')]";['М', 'Г', 'П', 'Ш'];[0, 5, 6, 8];grid_13053.png;[1, 2, 3, 7];{'М': 0, 'Г': 1, 'П': 2, 'Ш': 3};{'М': [1, 2, 3], 'Г': [0, 2, 3], 'П': [0, 1, 3], 'Ш': [0, 1, 2]};[2, 7, 0, 6];[1, 3, 5, 8];{'Г': 0, 'М': 1, 'П': 2, 'Ш': 3};{'Г': [1], 'М': [2, 3], 'П': [1, 3], 'Ш': [2]};1;1.0;5
207;"[array([['Т', 'Ж', 'Ф'],
       ['Х', 'Х', 'Х'],
       ['Х', 'Л', 'Х']], dtype='<U1')]";['Т', 'Ж', 'Ф', 'Л'];[0, 1, 2, 7];grid_1824.png;[3, 5, 6, 8];{'Т': 0, 'Ж': 1, 'Ф': 2, 'Л': 3};{'Т': [1, 2, 3], 'Ж': [0, 2, 3], 'Ф': [0, 1, 3], 'Л': [0, 1, 2]};[2, 5, 8, 3];[0, 1, 6, 7];{'Ж': 0, 'Л': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2], 'Л': [0, 2], 'Т': [1, 3], 'Ф': [2]};2;0.0;'- - - Ж
2269;"[array([['М', 'Х', 'Х'],
       ['К', 'Х', 'П'],
       ['Х', 'Ш', 'Х']], dtype='<U1')]";['М', 'К', 'П', 'Ш'];[0, 3, 5, 7];grid_10317.png;[1, 2, 6, 8];{'М': 0, 'К': 1, 'П': 2, 'Ш': 3};{'М': [1, 2, 3], 'К': [0, 2, 3], 'П': [0, 1, 3], 'Ш': [0, 1, 2]};[2, 1, 7, 3];[0, 5, 6, 8];{'К': 0, 'М': 1, 'П': 2, 'Ш': 3};{'К': [1, 2], 'М': [2, 3], 'П': [1, 3], 'Ш': [2]};2;1.0;'- - - Ш
4477;"[array([['Х', 'Х', 'Ф'],
       ['Ж', 'Х', 'Х'],
       ['Г', 'Х', 'Д']], dtype='<U1')]";['Ф', 'Ж', 'Г', 'Д'];[2, 3, 6, 8];grid_14200.png;[0, 1, 5, 7];{'Ф': 0, 'Ж': 1, 'Г': 2, 'Д': 3};{'Ф': [1, 2, 3], 'Ж': [0, 2, 3], 'Г': [0, 1, 3], 'Д': [0, 1, 2]};[8, 1, 0, 6];[2, 3, 5, 7];{'Г': 0, 'Д': 1, 'Ж': 2, 'Ф': 3};{'Г': [1], 'Д': [0], 'Ж': [0, 1], 'Ф': [2]};3;1.0;0
2270;"[array([['К', 'Х', 'Х'],
       ['Ш', 'Х', 'П'],
       ['Х', 'Х', 'М']], dtype='<U1')]";['К', 'Ш', 'П', 'М'];[0, 3, 5, 8];grid_10318.png;[1, 2, 6, 7];{'К': 0, 'Ш': 1, 'П': 2, 'М': 3};{'К': [1, 2, 3], 'Ш': [0, 2, 3], 'П': [0, 1, 3], 'М': [0, 1, 2]};[2, 1, 7, 6];[0, 3, 5, 8];{'К': 0, 'М': 1, 'П': 2, 'Ш': 3};{'К': [1, 2], 'М': [2, 3], 'П': [1, 3], 'Ш': [2]};1;0.0;1
4434;"[array([['Ф', 'Д', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Х', 'Г', 'Ж']], dtype='<U1')]";['Ф', 'Д', 'Г', 'Ж'];[0, 1, 7, 8];grid_14155.png;[2, 3, 5, 6];{'Ф': 0, 'Д': 1, 'Г': 2, 'Ж': 3};{'Ф': [1, 2, 3], 'Д': [0, 2, 3], 'Г': [0, 1, 3], 'Ж': [0, 1, 2]};[2, 5, 3, 6];[0, 1, 7, 8];{'Г': 0, 'Д': 1, 'Ж': 2, 'Ф': 3};{'Г': [1], 'Д': [0], 'Ж': [0, 1], 'Ф': [2]};3;1.0;3
1067;"[array([['Х', 'Ш', 'Х'],
       ['Т', 'Х', 'Х'],
       ['М', 'Х', 'П']], dtype='<U1')]";['Ш', 'Т', 'М', 'П'];[1, 3, 6, 8];grid_3970.png;[0, 2, 5, 7];{'Ш': 0, 'Т': 1, 'М': 2, 'П': 3};{'Ш': [1, 2, 3], 'Т': [0, 2, 3], 'М': [0, 1, 3], 'П': [0, 1, 2]};[5, 1, 0, 6];[2, 3, 7, 8];{'М': 0, 'П': 1, 'Т': 2, 'Ш': 3};{'М': [1, 2, 3], 'П': [2, 3], 'Т': [1, 3], 'Ш': [2]};2;0.0;'- - П -
1798;"[array([['Ж', 'Х', 'Х'],
       ['Х', 'Х', 'Ф'],
       ['Г', 'Л', 'Х']], dtype='<U1')]";['Ж', 'Ф', 'Г', 'Л'];[0, 5, 6, 7];grid_9622.png;[1, 2, 3, 8];{'Ж': 0, 'Ф': 1, 'Г': 2, 'Л': 3};{'Ж': [1, 2, 3], 'Ф': [0, 2, 3], 'Г': [0, 1, 3], 'Л': [0, 1, 2]};[2, 7, 0, 3];[1, 5, 6, 8];{'Г': 0, 'Ж': 1, 'Л': 2, 'Ф': 3};{'Г': [1], 'Ж': [0, 2], 'Л': [0, 1], 'Ф': [2]};3;1.0;3
