;grid;letters;locs;encoding_stim;incorr_locs;corr_letters;incorr_letters;rotated_inds;incorr_rot;abc_ordered;incorr_abc;task_ind;answer_type;probe_stim
1474;"[array([['Х', 'Ж', 'Х'],
       ['П', 'Х', 'Х'],
       ['Л', 'Г', 'Х']], dtype='<U1')]";['Ж', 'П', 'Л', 'Г'];[1, 3, 6, 7];grid_9149.png;[0, 2, 5, 8];{'Ж': 0, 'П': 1, 'Л': 2, 'Г': 3};{'Ж': [1, 2, 3], 'П': [0, 2, 3], 'Л': [0, 1, 3], 'Г': [0, 1, 2]};[5, 1, 0, 3];[2, 6, 7, 8];{'Г': 0, 'Ж': 1, 'Л': 2, 'П': 3};{'Г': [1], 'Ж': [0, 2], 'Л': [0, 1], 'П': [1, 2]};2;1.0;'Ж - - -
3600;"[array([['Х', 'Х', 'Х'],
       ['Ф', 'Х', 'Ш'],
       ['М', 'Х', 'Д']], dtype='<U1')]";['Ф', 'Ш', 'М', 'Д'];[3, 5, 6, 8];grid_12947.png;[0, 1, 2, 7];{'Ф': 0, 'Ш': 1, 'М': 2, 'Д': 3};{'Ф': [1, 2, 3], 'Ш': [0, 2, 3], 'М': [0, 1, 3], 'Д': [0, 1, 2]};[1, 7, 0, 6];[2, 3, 5, 8];{'Д': 0, 'М': 1, 'Ф': 2, 'Ш': 3};{'Д': [1], 'М': [2, 3], 'Ф': [3], 'Ш': [2]};0;;
1442;"[array([['Л', 'П', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Х', 'Г', 'Ж']], dtype='<U1')]";['Л', 'П', 'Г', 'Ж'];[0, 1, 7, 8];grid_9115.png;[2, 3, 5, 6];{'Л': 0, 'П': 1, 'Г': 2, 'Ж': 3};{'Л': [1, 2, 3], 'П': [0, 2, 3], 'Г': [0, 1, 3], 'Ж': [0, 1, 2]};[2, 5, 3, 6];[0, 1, 7, 8];{'Г': 0, 'Ж': 1, 'Л': 2, 'П': 3};{'Г': [1], 'Ж': [0, 2], 'Л': [0, 1], 'П': [1, 2]};3;0.0;7
1248;"[array([['Ш', 'Х', 'Х'],
       ['Т', 'Х', 'М'],
       ['Ф', 'Х', 'Х']], dtype='<U1')]";['Ш', 'Т', 'М', 'Ф'];[0, 3, 5, 6];grid_4436.png;[1, 2, 7, 8];{'Ш': 0, 'Т': 1, 'М': 2, 'Ф': 3};{'Ш': [1, 2, 3], 'Т': [0, 2, 3], 'М': [0, 1, 3], 'Ф': [0, 1, 2]};[2, 1, 7, 0];[3, 5, 6, 8];{'М': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'М': [1, 2, 3], 'Т': [2, 3], 'Ф': [3], 'Ш': [2]};2;1.0;'- Т - -
2534;"[array([['Ж', 'Х', 'Д'],
       ['К', 'Х', 'Х'],
       ['Х', 'Х', 'П']], dtype='<U1')]";['Ж', 'Д', 'К', 'П'];[0, 2, 3, 8];grid_10939.png;[1, 5, 6, 7];{'Ж': 0, 'Д': 1, 'К': 2, 'П': 3};{'Ж': [1, 2, 3], 'Д': [0, 2, 3], 'К': [0, 1, 3], 'П': [0, 1, 2]};[2, 8, 1, 6];[0, 3, 5, 7];{'Д': 0, 'Ж': 1, 'К': 2, 'П': 3};{'Д': [1], 'Ж': [0, 2], 'К': [0, 1], 'П': [1, 2]};2;0.0;'Д - - -
4076;"[array([['Х', 'Х', 'Х'],
       ['Ш', 'Х', 'М'],
       ['Г', 'Х', 'Ф']], dtype='<U1')]";['Ш', 'М', 'Г', 'Ф'];[3, 5, 6, 8];grid_13577.png;[0, 1, 2, 7];{'Ш': 0, 'М': 1, 'Г': 2, 'Ф': 3};{'Ш': [1, 2, 3], 'М': [0, 2, 3], 'Г': [0, 1, 3], 'Ф': [0, 1, 2]};[1, 7, 0, 6];[2, 3, 5, 8];{'Г': 0, 'М': 1, 'Ф': 2, 'Ш': 3};{'Г': [1], 'М': [2, 3], 'Ф': [3], 'Ш': [2]};1;1.0;3
2572;"[array([['Х', 'Х', 'К'],
       ['Ж', 'Х', 'Х'],
       ['Д', 'П', 'Х']], dtype='<U1')]";['К', 'Ж', 'Д', 'П'];[2, 3, 6, 7];grid_10979.png;[0, 1, 5, 8];{'К': 0, 'Ж': 1, 'Д': 2, 'П': 3};{'К': [1, 2, 3], 'Ж': [0, 2, 3], 'Д': [0, 1, 3], 'П': [0, 1, 2]};[8, 1, 0, 3];[2, 5, 6, 7];{'Д': 0, 'Ж': 1, 'К': 2, 'П': 3};{'Д': [1], 'Ж': [0, 2], 'К': [0, 1], 'П': [1, 2]};1;1.0;2
319;"[array([['Х', 'Ф', 'Х'],
       ['Ш', 'Х', 'Х'],
       ['Т', 'Х', 'Л']], dtype='<U1')]";['Ф', 'Ш', 'Т', 'Л'];[1, 3, 6, 8];grid_1940.png;[0, 2, 5, 7];{'Ф': 0, 'Ш': 1, 'Т': 2, 'Л': 3};{'Ф': [1, 2, 3], 'Ш': [0, 2, 3], 'Т': [0, 1, 3], 'Л': [0, 1, 2]};[5, 1, 0, 6];[2, 3, 7, 8];{'Л': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'Л': [1, 2], 'Т': [2, 3], 'Ф': [3], 'Ш': [2]};0;;
3030;"[array([['Х', 'Д', 'П'],
       ['Х', 'Х', 'М'],
       ['Г', 'Х', 'Х']], dtype='<U1')]";['Д', 'П', 'М', 'Г'];[1, 2, 5, 6];grid_12290.png;[0, 3, 7, 8];{'Д': 0, 'П': 1, 'М': 2, 'Г': 3};{'Д': [1, 2, 3], 'П': [0, 2, 3], 'М': [0, 1, 3], 'Г': [0, 1, 2]};[5, 8, 7, 0];[1, 2, 3, 6];{'Г': 0, 'Д': 1, 'М': 2, 'П': 3};{'Г': [1], 'Д': [0], 'М': [1, 3], 'П': [1, 2]};2;0.0;'- - - М
294;"[array([['Ш', 'Х', 'Ф'],
       ['Х', 'Х', 'Х'],
       ['Т', 'Л', 'Х']], dtype='<U1')]";['Ш', 'Ф', 'Т', 'Л'];[0, 2, 6, 7];grid_1913.png;[1, 3, 5, 8];{'Ш': 0, 'Ф': 1, 'Т': 2, 'Л': 3};{'Ш': [1, 2, 3], 'Ф': [0, 2, 3], 'Т': [0, 1, 3], 'Л': [0, 1, 2]};[2, 8, 0, 3];[1, 5, 6, 7];{'Л': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'Л': [1, 2], 'Т': [2, 3], 'Ф': [3], 'Ш': [2]};4;0.0;'- - Ш -
