;grid;letters;locs;encoding_stim;incorr_locs;corr_letters;incorr_letters;rotated_inds;incorr_rot;abc_ordered;incorr_abc;task_ind;answer_type;probe_stim
1615;"[array([['Х', 'Л', 'Х'],
       ['Х', 'Х', 'Ф'],
       ['Х', 'П', 'Г']], dtype='<U1')]";['Л', 'Ф', 'П', 'Г'];[1, 5, 7, 8];grid_9294.png;[0, 2, 3, 6];{'Л': 0, 'Ф': 1, 'П': 2, 'Г': 3};{'Л': [1, 2, 3], 'Ф': [0, 2, 3], 'П': [0, 1, 3], 'Г': [0, 1, 2]};[5, 7, 3, 6];[0, 1, 2, 8];{'Г': 0, 'Л': 1, 'П': 2, 'Ф': 3};{'Г': [1], 'Л': [0, 2], 'П': [1, 3], 'Ф': [2]};2;1.0;'Л - - -
445;"[array([['Х', 'Ж', 'Т'],
       ['М', 'Х', 'Х'],
       ['Х', 'Х', 'К']], dtype='<U1')]";['Ж', 'Т', 'М', 'К'];[1, 2, 3, 8];grid_2209.png;[0, 5, 6, 7];{'Ж': 0, 'Т': 1, 'М': 2, 'К': 3};{'Ж': [1, 2, 3], 'Т': [0, 2, 3], 'М': [0, 1, 3], 'К': [0, 1, 2]};[5, 8, 1, 6];[0, 2, 3, 7];{'Ж': 0, 'К': 1, 'М': 2, 'Т': 3};{'Ж': [1, 2], 'К': [0, 2], 'М': [1, 3], 'Т': [1, 2]};0;;
4254;"[array([['Х', 'Ф', 'Д'],
       ['Х', 'Х', 'П'],
       ['Г', 'Х', 'Х']], dtype='<U1')]";['Ф', 'Д', 'П', 'Г'];[1, 2, 5, 6];grid_13830.png;[0, 3, 7, 8];{'Ф': 0, 'Д': 1, 'П': 2, 'Г': 3};{'Ф': [1, 2, 3], 'Д': [0, 2, 3], 'П': [0, 1, 3], 'Г': [0, 1, 2]};[5, 8, 7, 0];[1, 2, 3, 6];{'Г': 0, 'Д': 1, 'П': 2, 'Ф': 3};{'Г': [1], 'Д': [0], 'П': [1, 3], 'Ф': [2]};0;;
428;"[array([['М', 'Х', 'Ж'],
       ['Х', 'Х', 'К'],
       ['Х', 'Т', 'Х']], dtype='<U1')]";['М', 'Ж', 'К', 'Т'];[0, 2, 5, 7];grid_2191.png;[1, 3, 6, 8];{'М': 0, 'Ж': 1, 'К': 2, 'Т': 3};{'М': [1, 2, 3], 'Ж': [0, 2, 3], 'К': [0, 1, 3], 'Т': [0, 1, 2]};[2, 8, 7, 3];[0, 1, 5, 6];{'Ж': 0, 'К': 1, 'М': 2, 'Т': 3};{'Ж': [1, 2], 'К': [0, 2], 'М': [1, 3], 'Т': [1, 2]};3;0.0;1
4661;"[array([['Х', 'Г', 'Ф'],
       ['П', 'Х', 'Х'],
       ['Х', 'Х', 'Ш']], dtype='<U1')]";['Г', 'Ф', 'П', 'Ш'];[1, 2, 3, 8];grid_14529.png;[0, 5, 6, 7];{'Г': 0, 'Ф': 1, 'П': 2, 'Ш': 3};{'Г': [1, 2, 3], 'Ф': [0, 2, 3], 'П': [0, 1, 3], 'Ш': [0, 1, 2]};[5, 8, 1, 6];[0, 2, 3, 7];{'Г': 0, 'П': 1, 'Ф': 2, 'Ш': 3};{'Г': [1], 'П': [2, 3], 'Ф': [3], 'Ш': [2]};2;0.0;'Ш - - -
1992;"[array([['Д', 'Х', 'М'],
       ['Х', 'Х', 'К'],
       ['Х', 'Ж', 'Х']], dtype='<U1')]";['Д', 'М', 'К', 'Ж'];[0, 2, 5, 7];grid_9961.png;[1, 3, 6, 8];{'Д': 0, 'М': 1, 'К': 2, 'Ж': 3};{'Д': [1, 2, 3], 'М': [0, 2, 3], 'К': [0, 1, 3], 'Ж': [0, 1, 2]};[2, 8, 7, 3];[0, 1, 5, 6];{'Д': 0, 'Ж': 1, 'К': 2, 'М': 3};{'Д': [1], 'Ж': [0, 2], 'К': [0, 1], 'М': [1, 2]};1;1.0;0
272;"[array([['Ф', 'Ш', 'Т'],
       ['Л', 'Х', 'Х'],
       ['Х', 'Х', 'Х']], dtype='<U1')]";['Ф', 'Ш', 'Т', 'Л'];[0, 1, 2, 3];grid_1891.png;[5, 6, 7, 8];{'Ф': 0, 'Ш': 1, 'Т': 2, 'Л': 3};{'Ф': [1, 2, 3], 'Ш': [0, 2, 3], 'Т': [0, 1, 3], 'Л': [0, 1, 2]};[2, 5, 8, 1];[0, 3, 6, 7];{'Л': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'Л': [1, 2], 'Т': [2, 3], 'Ф': [3], 'Ш': [2]};3;1.0;2
3615;"[array([['М', 'Г', 'Х'],
       ['Х', 'Х', 'П'],
       ['Х', 'Х', 'Ж']], dtype='<U1')]";['М', 'Г', 'П', 'Ж'];[0, 1, 5, 8];grid_12962.png;[2, 3, 6, 7];{'М': 0, 'Г': 1, 'П': 2, 'Ж': 3};{'М': [1, 2, 3], 'Г': [0, 2, 3], 'П': [0, 1, 3], 'Ж': [0, 1, 2]};[2, 5, 7, 6];[0, 1, 3, 8];{'Г': 0, 'Ж': 1, 'М': 2, 'П': 3};{'Г': [1], 'Ж': [0, 2], 'М': [1, 3], 'П': [1, 2]};0;;
2853;"[array([['Х', 'Х', 'Х'],
       ['Д', 'Х', 'Ш'],
       ['Х', 'К', 'Ф']], dtype='<U1')]";['Д', 'Ш', 'К', 'Ф'];[3, 5, 7, 8];grid_11548.png;[0, 1, 2, 6];{'Д': 0, 'Ш': 1, 'К': 2, 'Ф': 3};{'Д': [1, 2, 3], 'Ш': [0, 2, 3], 'К': [0, 1, 3], 'Ф': [0, 1, 2]};[1, 7, 3, 6];[0, 2, 5, 8];{'Д': 0, 'К': 1, 'Ф': 2, 'Ш': 3};{'Д': [1], 'К': [0, 2], 'Ф': [3], 'Ш': [2]};4;0.0;'К - - -
1005;"[array([['Х', 'Х', 'Т'],
       ['Ж', 'Х', 'П'],
       ['М', 'Х', 'Х']], dtype='<U1')]";['Т', 'Ж', 'П', 'М'];[2, 3, 5, 6];grid_3906.png;[0, 1, 7, 8];{'Т': 0, 'Ж': 1, 'П': 2, 'М': 3};{'Т': [1, 2, 3], 'Ж': [0, 2, 3], 'П': [0, 1, 3], 'М': [0, 1, 2]};[8, 1, 7, 0];[2, 3, 5, 6];{'Ж': 0, 'М': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2], 'М': [2, 3], 'П': [1, 3], 'Т': [1, 2]};0;;
