;grid;letters;locs;encoding_stim;incorr_locs;corr_letters;incorr_letters;rotated_inds;incorr_rot;abc_ordered;incorr_abc;task_ind;answer_type;probe_stim
4376;"[array([['Ш', 'Х', 'Х'],
       ['П', 'Х', 'Ф'],
       ['Д', 'Х', 'Х']], dtype='<U1')]";['Ш', 'П', 'Ф', 'Д'];[0, 3, 5, 6];grid_14026.png;[1, 2, 7, 8];{'Ш': 0, 'П': 1, 'Ф': 2, 'Д': 3};{'Ш': [1, 2, 3], 'П': [0, 2, 3], 'Ф': [0, 1, 3], 'Д': [0, 1, 2]};[2, 1, 7, 0];[3, 5, 6, 8];{'Д': 0, 'П': 1, 'Ф': 2, 'Ш': 3};{'Д': [1], 'П': [2, 3], 'Ф': [3], 'Ш': [2]};4;1.0;'- П - -
442;"[array([['Х', 'Ж', 'М'],
       ['Т', 'Х', 'К'],
       ['Х', 'Х', 'Х']], dtype='<U1')]";['Ж', 'М', 'Т', 'К'];[1, 2, 3, 5];grid_2206.png;[0, 6, 7, 8];{'Ж': 0, 'М': 1, 'Т': 2, 'К': 3};{'Ж': [1, 2, 3], 'М': [0, 2, 3], 'Т': [0, 1, 3], 'К': [0, 1, 2]};[5, 8, 1, 7];[0, 2, 3, 6];{'Ж': 0, 'К': 1, 'М': 2, 'Т': 3};{'Ж': [1, 2], 'К': [0, 2], 'М': [1, 3], 'Т': [1, 2]};4;1.0;'- - - Т
4164;"[array([['П', 'Х', 'Д'],
       ['Ш', 'Х', 'Х'],
       ['Г', 'Х', 'Х']], dtype='<U1')]";['П', 'Д', 'Ш', 'Г'];[0, 2, 3, 6];grid_13737.png;[1, 5, 7, 8];{'П': 0, 'Д': 1, 'Ш': 2, 'Г': 3};{'П': [1, 2, 3], 'Д': [0, 2, 3], 'Ш': [0, 1, 3], 'Г': [0, 1, 2]};[2, 8, 1, 0];[3, 5, 6, 7];{'Г': 0, 'Д': 1, 'П': 2, 'Ш': 3};{'Г': [1], 'Д': [0], 'П': [1, 3], 'Ш': [2]};4;0.0;'- Г - -
240;"[array([['Х', 'Л', 'Ж'],
       ['Ф', 'Х', 'Х'],
       ['Х', 'Т', 'Х']], dtype='<U1')]";['Л', 'Ж', 'Ф', 'Т'];[1, 2, 3, 7];grid_1858.png;[0, 5, 6, 8];{'Л': 0, 'Ж': 1, 'Ф': 2, 'Т': 3};{'Л': [1, 2, 3], 'Ж': [0, 2, 3], 'Ф': [0, 1, 3], 'Т': [0, 1, 2]};[5, 8, 1, 3];[0, 2, 6, 7];{'Ж': 0, 'Л': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2], 'Л': [0, 2], 'Т': [1, 3], 'Ф': [2]};1;0.0;5
3687;"[array([['П', 'Х', 'Г'],
       ['М', 'Х', 'Ш'],
       ['Х', 'Х', 'Х']], dtype='<U1')]";['П', 'Г', 'М', 'Ш'];[0, 2, 3, 5];grid_13036.png;[1, 6, 7, 8];{'П': 0, 'Г': 1, 'М': 2, 'Ш': 3};{'П': [1, 2, 3], 'Г': [0, 2, 3], 'М': [0, 1, 3], 'Ш': [0, 1, 2]};[2, 8, 1, 7];[0, 3, 5, 6];{'Г': 0, 'М': 1, 'П': 2, 'Ш': 3};{'Г': [1], 'М': [2, 3], 'П': [1, 3], 'Ш': [2]};1;0.0;8
247;"[array([['Х', 'Т', 'Л'],
       ['Х', 'Х', 'Х'],
       ['Х', 'Ж', 'Ф']], dtype='<U1')]";['Т', 'Л', 'Ж', 'Ф'];[1, 2, 7, 8];grid_1865.png;[0, 3, 5, 6];{'Т': 0, 'Л': 1, 'Ж': 2, 'Ф': 3};{'Т': [1, 2, 3], 'Л': [0, 2, 3], 'Ж': [0, 1, 3], 'Ф': [0, 1, 2]};[5, 8, 3, 6];[0, 1, 2, 7];{'Ж': 0, 'Л': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2], 'Л': [0, 2], 'Т': [1, 3], 'Ф': [2]};1;1.0;2
4155;"[array([['Ш', 'Г', 'Х'],
       ['Д', 'Х', 'Х'],
       ['Х', 'П', 'Х']], dtype='<U1')]";['Ш', 'Г', 'Д', 'П'];[0, 1, 3, 7];grid_13728.png;[2, 5, 6, 8];{'Ш': 0, 'Г': 1, 'Д': 2, 'П': 3};{'Ш': [1, 2, 3], 'Г': [0, 2, 3], 'Д': [0, 1, 3], 'П': [0, 1, 2]};[2, 5, 1, 3];[0, 6, 7, 8];{'Г': 0, 'Д': 1, 'П': 2, 'Ш': 3};{'Г': [1], 'Д': [0], 'П': [1, 3], 'Ш': [2]};2;0.0;'- Ш - -
2444;"[array([['Х', 'Х', 'Х'],
       ['Ж', 'Х', 'К'],
       ['Ф', 'Х', 'М']], dtype='<U1')]";['Ж', 'К', 'Ф', 'М'];[3, 5, 6, 8];grid_10777.png;[0, 1, 2, 7];{'Ж': 0, 'К': 1, 'Ф': 2, 'М': 3};{'Ж': [1, 2, 3], 'К': [0, 2, 3], 'Ф': [0, 1, 3], 'М': [0, 1, 2]};[1, 7, 0, 6];[2, 3, 5, 8];{'Ж': 0, 'К': 1, 'М': 2, 'Ф': 3};{'Ж': [1, 2], 'К': [0, 2], 'М': [1, 3], 'Ф': [2]};4;1.0;'Ж - - -
4178;"[array([['Г', 'Х', 'Х'],
       ['Х', 'Х', 'П'],
       ['Ш', 'Д', 'Х']], dtype='<U1')]";['Г', 'П', 'Ш', 'Д'];[0, 5, 6, 7];grid_13752.png;[1, 2, 3, 8];{'Г': 0, 'П': 1, 'Ш': 2, 'Д': 3};{'Г': [1, 2, 3], 'П': [0, 2, 3], 'Ш': [0, 1, 3], 'Д': [0, 1, 2]};[2, 7, 0, 3];[1, 5, 6, 8];{'Г': 0, 'Д': 1, 'П': 2, 'Ш': 3};{'Г': [1], 'Д': [0], 'П': [1, 3], 'Ш': [2]};2;1.0;'- - - Д
839;"[array([['Т', 'Х', 'Ф'],
       ['Х', 'Х', 'Х'],
       ['Х', 'Ж', 'К']], dtype='<U1')]";['Т', 'Ф', 'Ж', 'К'];[0, 2, 7, 8];grid_3315.png;[1, 3, 5, 6];{'Т': 0, 'Ф': 1, 'Ж': 2, 'К': 3};{'Т': [1, 2, 3], 'Ф': [0, 2, 3], 'Ж': [0, 1, 3], 'К': [0, 1, 2]};[2, 8, 3, 6];[0, 1, 5, 7];{'Ж': 0, 'К': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2], 'К': [0, 2], 'Т': [1, 3], 'Ф': [2]};1;0.0;3
