;grid;letters;locs;encoding_stim;incorr_locs;corr_letters;incorr_letters;rotated_inds;incorr_rot;abc_ordered;incorr_abc;task_ind;answer_type;probe_stim
3370;"[array([['Х', 'Г', 'М'],
       ['Х', 'Х', 'Ш'],
       ['Д', 'Х', 'Х']], dtype='<U1')]";['Г', 'М', 'Ш', 'Д'];[1, 2, 5, 6];grid_12640.png;[0, 3, 7, 8];{'Г': 0, 'М': 1, 'Ш': 2, 'Д': 3};{'Г': [1, 2, 3], 'М': [0, 2, 3], 'Ш': [0, 1, 3], 'Д': [0, 1, 2]};[5, 8, 7, 0];[1, 2, 3, 6];{'Г': 0, 'Д': 1, 'М': 2, 'Ш': 3};{'Г': [1], 'Д': [0], 'М': [1, 3], 'Ш': [2]};2;0.0;'- - Д -
785;"[array([['Х', 'К', 'Т'],
       ['Ф', 'Х', 'Х'],
       ['Х', 'Х', 'П']], dtype='<U1')]";['К', 'Т', 'Ф', 'П'];[1, 2, 3, 8];grid_2979.png;[0, 5, 6, 7];{'К': 0, 'Т': 1, 'Ф': 2, 'П': 3};{'К': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'П': [0, 1, 2]};[5, 8, 1, 6];[0, 2, 3, 7];{'К': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'К': [1, 2], 'П': [2, 3], 'Т': [1, 3], 'Ф': [2]};1;0.0;6
3326;"[array([['Х', 'Х', 'Г'],
       ['Х', 'Х', 'Х'],
       ['Ж', 'Д', 'М']], dtype='<U1')]";['Г', 'Ж', 'Д', 'М'];[2, 6, 7, 8];grid_12595.png;[0, 1, 3, 5];{'Г': 0, 'Ж': 1, 'Д': 2, 'М': 3};{'Г': [1, 2, 3], 'Ж': [0, 2, 3], 'Д': [0, 1, 3], 'М': [0, 1, 2]};[8, 0, 3, 6];[1, 2, 5, 7];{'Г': 0, 'Д': 1, 'Ж': 2, 'М': 3};{'Г': [1], 'Д': [0], 'Ж': [0, 1], 'М': [1, 2]};4;0.0;'- Г - -
119;"[array([['Х', 'Т', 'Х'],
       ['Х', 'Х', 'П'],
       ['Х', 'Ш', 'Л']], dtype='<U1')]";['Т', 'П', 'Ш', 'Л'];[1, 5, 7, 8];grid_1454.png;[0, 2, 3, 6];{'Т': 0, 'П': 1, 'Ш': 2, 'Л': 3};{'Т': [1, 2, 3], 'П': [0, 2, 3], 'Ш': [0, 1, 3], 'Л': [0, 1, 2]};[5, 7, 3, 6];[0, 1, 2, 8];{'Л': 0, 'П': 1, 'Т': 2, 'Ш': 3};{'Л': [1, 2], 'П': [2, 3], 'Т': [1, 3], 'Ш': [2]};4;1.0;'Л - - -
3427;"[array([['Д', 'Х', 'Х'],
       ['Ф', 'Х', 'Х'],
       ['М', 'Г', 'Х']], dtype='<U1')]";['Д', 'Ф', 'М', 'Г'];[0, 3, 6, 7];grid_12699.png;[1, 2, 5, 8];{'Д': 0, 'Ф': 1, 'М': 2, 'Г': 3};{'Д': [1, 2, 3], 'Ф': [0, 2, 3], 'М': [0, 1, 3], 'Г': [0, 1, 2]};[2, 1, 0, 3];[5, 6, 7, 8];{'Г': 0, 'Д': 1, 'М': 2, 'Ф': 3};{'Г': [1], 'Д': [0], 'М': [1, 3], 'Ф': [2]};0;;
54;"[array([['Х', 'Х', 'Т'],
       ['Ж', 'Х', 'П'],
       ['Х', 'Л', 'Х']], dtype='<U1')]";['Т', 'Ж', 'П', 'Л'];[2, 3, 5, 7];grid_1387.png;[0, 1, 6, 8];{'Т': 0, 'Ж': 1, 'П': 2, 'Л': 3};{'Т': [1, 2, 3], 'Ж': [0, 2, 3], 'П': [0, 1, 3], 'Л': [0, 1, 2]};[8, 1, 7, 3];[0, 2, 5, 6];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2], 'Л': [0, 2], 'П': [1, 3], 'Т': [1, 2]};2;1.0;'- - П -
2450;"[array([['Ф', 'Ш', 'М'],
       ['Х', 'Х', 'Х'],
       ['К', 'Х', 'Х']], dtype='<U1')]";['Ф', 'Ш', 'М', 'К'];[0, 1, 2, 6];grid_10783.png;[3, 5, 7, 8];{'Ф': 0, 'Ш': 1, 'М': 2, 'К': 3};{'Ф': [1, 2, 3], 'Ш': [0, 2, 3], 'М': [0, 1, 3], 'К': [0, 1, 2]};[2, 5, 8, 0];[1, 3, 6, 7];{'К': 0, 'М': 1, 'Ф': 2, 'Ш': 3};{'К': [1, 2], 'М': [2, 3], 'Ф': [3], 'Ш': [2]};0;;
36;"[array([['Х', 'Т', 'Ж'],
       ['Л', 'Х', 'Х'],
       ['Х', 'П', 'Х']], dtype='<U1')]";['Т', 'Ж', 'Л', 'П'];[1, 2, 3, 7];grid_1368.png;[0, 5, 6, 8];{'Т': 0, 'Ж': 1, 'Л': 2, 'П': 3};{'Т': [1, 2, 3], 'Ж': [0, 2, 3], 'Л': [0, 1, 3], 'П': [0, 1, 2]};[5, 8, 1, 3];[0, 2, 6, 7];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2], 'Л': [0, 2], 'П': [1, 3], 'Т': [1, 2]};1;1.0;7
3393;"[array([['Х', 'Х', 'Г'],
       ['Х', 'Х', 'Д'],
       ['Х', 'Ш', 'М']], dtype='<U1')]";['Г', 'Д', 'Ш', 'М'];[2, 5, 7, 8];grid_12664.png;[0, 1, 3, 6];{'Г': 0, 'Д': 1, 'Ш': 2, 'М': 3};{'Г': [1, 2, 3], 'Д': [0, 2, 3], 'Ш': [0, 1, 3], 'М': [0, 1, 2]};[8, 7, 3, 6];[0, 1, 2, 5];{'Г': 0, 'Д': 1, 'М': 2, 'Ш': 3};{'Г': [1], 'Д': [0], 'М': [1, 3], 'Ш': [2]};0;;
147;"[array([['П', 'Т', 'Х'],
       ['Х', 'Х', 'Л'],
       ['Х', 'Х', 'Ф']], dtype='<U1')]";['П', 'Т', 'Л', 'Ф'];[0, 1, 5, 8];grid_1482.png;[2, 3, 6, 7];{'П': 0, 'Т': 1, 'Л': 2, 'Ф': 3};{'П': [1, 2, 3], 'Т': [0, 2, 3], 'Л': [0, 1, 3], 'Ф': [0, 1, 2]};[2, 5, 7, 6];[0, 1, 3, 8];{'Л': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Л': [1, 2], 'П': [2, 3], 'Т': [1, 3], 'Ф': [2]};4;0.0;'- - Л -
