;grid;letters;locs;encoding_stim;incorr_locs;corr_letters;incorr_letters;rotated_inds;incorr_rot;abc_ordered;incorr_abc;task_ind;answer_type;probe_stim
490;"[array([['Т', 'Ш', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Х', 'М', 'К']], dtype='<U1')]";['Т', 'Ш', 'М', 'К'];[0, 1, 7, 8];grid_2255.png;[2, 3, 5, 6];{'Т': 0, 'Ш': 1, 'М': 2, 'К': 3};{'Т': [1, 2, 3], 'Ш': [0, 2, 3], 'М': [0, 1, 3], 'К': [0, 1, 2]};[2, 5, 3, 6];[0, 1, 7, 8];{'К': 0, 'М': 1, 'Т': 2, 'Ш': 3};{'К': [1, 2], 'М': [2, 3], 'Т': [1, 3], 'Ш': [2]};2;0.0;'- - - Ш
4281;"[array([['Х', 'Х', 'Х'],
       ['Г', 'Х', 'Ф'],
       ['Х', 'П', 'Д']], dtype='<U1')]";['Г', 'Ф', 'П', 'Д'];[3, 5, 7, 8];grid_13858.png;[0, 1, 2, 6];{'Г': 0, 'Ф': 1, 'П': 2, 'Д': 3};{'Г': [1, 2, 3], 'Ф': [0, 2, 3], 'П': [0, 1, 3], 'Д': [0, 1, 2]};[1, 7, 3, 6];[0, 2, 5, 8];{'Г': 0, 'Д': 1, 'П': 2, 'Ф': 3};{'Г': [1], 'Д': [0], 'П': [1, 3], 'Ф': [2]};3;1.0;3
536;"[array([['Х', 'Х', 'К'],
       ['Х', 'Х', 'М'],
       ['Т', 'Х', 'Ш']], dtype='<U1')]";['К', 'М', 'Т', 'Ш'];[2, 5, 6, 8];grid_2303.png;[0, 1, 3, 7];{'К': 0, 'М': 1, 'Т': 2, 'Ш': 3};{'К': [1, 2, 3], 'М': [0, 2, 3], 'Т': [0, 1, 3], 'Ш': [0, 1, 2]};[8, 7, 0, 6];[1, 2, 3, 5];{'К': 0, 'М': 1, 'Т': 2, 'Ш': 3};{'К': [1, 2], 'М': [2, 3], 'Т': [1, 3], 'Ш': [2]};4;1.0;'К - - -
1566;"[array([['Л', 'Г', 'П'],
       ['Х', 'Х', 'Х'],
       ['Ф', 'Х', 'Х']], dtype='<U1')]";['Л', 'Г', 'П', 'Ф'];[0, 1, 2, 6];grid_9243.png;[3, 5, 7, 8];{'Л': 0, 'Г': 1, 'П': 2, 'Ф': 3};{'Л': [1, 2, 3], 'Г': [0, 2, 3], 'П': [0, 1, 3], 'Ф': [0, 1, 2]};[2, 5, 8, 0];[1, 3, 6, 7];{'Г': 0, 'Л': 1, 'П': 2, 'Ф': 3};{'Г': [1], 'Л': [0, 2], 'П': [1, 3], 'Ф': [2]};1;1.0;0
2027;"[array([['Х', 'Х', 'К'],
       ['Д', 'Х', 'Ж'],
       ['Х', 'Х', 'М']], dtype='<U1')]";['К', 'Д', 'Ж', 'М'];[2, 3, 5, 8];grid_9998.png;[0, 1, 6, 7];{'К': 0, 'Д': 1, 'Ж': 2, 'М': 3};{'К': [1, 2, 3], 'Д': [0, 2, 3], 'Ж': [0, 1, 3], 'М': [0, 1, 2]};[8, 1, 7, 6];[0, 2, 3, 5];{'Д': 0, 'Ж': 1, 'К': 2, 'М': 3};{'Д': [1], 'Ж': [0, 2], 'К': [0, 1], 'М': [1, 2]};0;;
185;"[array([['Х', 'П', 'Х'],
       ['Х', 'Х', 'Л'],
       ['Т', 'Ф', 'Х']], dtype='<U1')]";['П', 'Л', 'Т', 'Ф'];[1, 5, 6, 7];grid_1522.png;[0, 2, 3, 8];{'П': 0, 'Л': 1, 'Т': 2, 'Ф': 3};{'П': [1, 2, 3], 'Л': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]};[5, 7, 0, 3];[1, 2, 6, 8];{'Л': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Л': [1, 2], 'П': [2, 3], 'Т': [1, 3], 'Ф': [2]};2;1.0;'П - - -
3283;"[array([['М', 'Х', 'Д'],
       ['Х', 'Х', 'Г'],
       ['Ж', 'Х', 'Х']], dtype='<U1')]";['М', 'Д', 'Г', 'Ж'];[0, 2, 5, 6];grid_12550.png;[1, 3, 7, 8];{'М': 0, 'Д': 1, 'Г': 2, 'Ж': 3};{'М': [1, 2, 3], 'Д': [0, 2, 3], 'Г': [0, 1, 3], 'Ж': [0, 1, 2]};[2, 8, 7, 0];[1, 3, 5, 6];{'Г': 0, 'Д': 1, 'Ж': 2, 'М': 3};{'Г': [1], 'Д': [0], 'Ж': [0, 1], 'М': [1, 2]};4;1.0;'- - - М
1761;"[array([['Х', 'Х', 'Л'],
       ['Х', 'Х', 'Ф'],
       ['Х', 'Ш', 'П']], dtype='<U1')]";['Л', 'Ф', 'Ш', 'П'];[2, 5, 7, 8];grid_9514.png;[0, 1, 3, 6];{'Л': 0, 'Ф': 1, 'Ш': 2, 'П': 3};{'Л': [1, 2, 3], 'Ф': [0, 2, 3], 'Ш': [0, 1, 3], 'П': [0, 1, 2]};[8, 7, 3, 6];[0, 1, 2, 5];{'Л': 0, 'П': 1, 'Ф': 2, 'Ш': 3};{'Л': [1, 2], 'П': [2, 3], 'Ф': [3], 'Ш': [2]};0;;
1977;"[array([['М', 'К', 'Х'],
       ['Д', 'Х', 'Ж'],
       ['Х', 'Х', 'Х']], dtype='<U1')]";['М', 'К', 'Д', 'Ж'];[0, 1, 3, 5];grid_9946.png;[2, 6, 7, 8];{'М': 0, 'К': 1, 'Д': 2, 'Ж': 3};{'М': [1, 2, 3], 'К': [0, 2, 3], 'Д': [0, 1, 3], 'Ж': [0, 1, 2]};[2, 5, 1, 7];[0, 3, 6, 8];{'Д': 0, 'Ж': 1, 'К': 2, 'М': 3};{'Д': [1], 'Ж': [0, 2], 'К': [0, 1], 'М': [1, 2]};0;;
116;"[array([['Х', 'Т', 'Х'],
       ['Л', 'Х', 'Х'],
       ['Х', 'Ш', 'П']], dtype='<U1')]";['Т', 'Л', 'Ш', 'П'];[1, 3, 7, 8];grid_1451.png;[0, 2, 5, 6];{'Т': 0, 'Л': 1, 'Ш': 2, 'П': 3};{'Т': [1, 2, 3], 'Л': [0, 2, 3], 'Ш': [0, 1, 3], 'П': [0, 1, 2]};[5, 1, 3, 6];[0, 2, 7, 8];{'Л': 0, 'П': 1, 'Т': 2, 'Ш': 3};{'Л': [1, 2], 'П': [2, 3], 'Т': [1, 3], 'Ш': [2]};1;1.0;1
2383;"[array([['М', 'К', 'Ж'],
       ['Х', 'Х', 'Х'],
       ['Х', 'Ф', 'Х']], dtype='<U1')]";['М', 'К', 'Ж', 'Ф'];[0, 1, 2, 7];grid_10714.png;[3, 5, 6, 8];{'М': 0, 'К': 1, 'Ж': 2, 'Ф': 3};{'М': [1, 2, 3], 'К': [0, 2, 3], 'Ж': [0, 1, 3], 'Ф': [0, 1, 2]};[2, 5, 8, 3];[0, 1, 6, 7];{'Ж': 0, 'К': 1, 'М': 2, 'Ф': 3};{'Ж': [1, 2], 'К': [0, 2], 'М': [1, 3], 'Ф': [2]};0;;
76;"[array([['П', 'Т', 'Х'],
       ['Л', 'Х', 'Х'],
       ['Х', 'Х', 'Ш']], dtype='<U1')]";['П', 'Т', 'Л', 'Ш'];[0, 1, 3, 8];grid_1409.png;[2, 5, 6, 7];{'П': 0, 'Т': 1, 'Л': 2, 'Ш': 3};{'П': [1, 2, 3], 'Т': [0, 2, 3], 'Л': [0, 1, 3], 'Ш': [0, 1, 2]};[2, 5, 1, 6];[0, 3, 7, 8];{'Л': 0, 'П': 1, 'Т': 2, 'Ш': 3};{'Л': [1, 2], 'П': [2, 3], 'Т': [1, 3], 'Ш': [2]};4;0.0;'- - Ш -
